sep=,
time,Centar
2018-10-1 00:00:00,51.1443
2018-10-2 00:00:00,44.0704
2018-10-3 00:00:00,41.6802
2018-10-4 00:00:00,25.374
2018-10-5 00:00:00,46.6619
2018-10-6 00:00:00,54.3165
2018-10-7 00:00:00,42.6472
2018-10-8 00:00:00,25.612
2018-10-9 00:00:00,41.1891
2018-10-10 00:00:00,35.0423
2018-10-11 00:00:00,45.0403
2018-10-12 00:00:00,46.0986
2018-10-13 00:00:00,45.7988
2018-10-14 00:00:00,42.0914
2018-10-15 00:00:00,50.0011
2018-10-16 00:00:00,
2018-10-17 00:00:00,55.6646
2018-10-18 00:00:00,72.0331
2018-10-19 00:00:00,81.0625
2018-10-20 00:00:00,59.4764
2018-10-21 00:00:00,45.7415
2018-10-22 00:00:00,40.73
2018-10-23 00:00:00,51.6048
2018-10-24 00:00:00,50.0065
2018-10-25 00:00:00,22.3197
2018-10-26 00:00:00,56.7812
2018-10-27 00:00:00,63.3021
2018-10-28 00:00:00,38.6481
2018-10-29 00:00:00,47.9683
2018-10-30 00:00:00,51.7407
2018-10-31 00:00:00,66.1403
