sep=,
time,Centar
2015-10-1 00:00:00,
2015-10-2 00:00:00,
2015-10-3 00:00:00,
2015-10-4 00:00:00,
2015-10-5 00:00:00,
2015-10-6 00:00:00,
2015-10-7 00:00:00,
2015-10-8 00:00:00,
2015-10-9 00:00:00,
2015-10-10 00:00:00,
2015-10-11 00:00:00,
2015-10-12 00:00:00,
2015-10-13 00:00:00,
2015-10-14 00:00:00,
2015-10-15 00:00:00,
2015-10-16 00:00:00,36.6869
2015-10-17 00:00:00,39.8901
2015-10-18 00:00:00,70.1989
2015-10-19 00:00:00,58.7836
2015-10-20 00:00:00,39.1363
2015-10-21 00:00:00,27.6754
2015-10-22 00:00:00,21.2116
2015-10-23 00:00:00,12.8053
2015-10-24 00:00:00,35.118
2015-10-25 00:00:00,74.4156
2015-10-26 00:00:00,100.978
2015-10-27 00:00:00,103.416
2015-10-28 00:00:00,102.125
2015-10-29 00:00:00,82.5775
2015-10-30 00:00:00,77.7085
2015-10-31 00:00:00,61.1326
