sep=,
time,Centar
2016-04-1 00:00:00,51.3922
2016-04-2 00:00:00,65.4891
2016-04-3 00:00:00,46.5177
2016-04-4 00:00:00,47.0059
2016-04-5 00:00:00,
2016-04-6 00:00:00,
2016-04-7 00:00:00,65.9271
2016-04-8 00:00:00,47.5274
2016-04-9 00:00:00,37.0899
2016-04-10 00:00:00,35.4702
2016-04-11 00:00:00,15.1678
2016-04-12 00:00:00,35.7977
2016-04-13 00:00:00,51.8142
2016-04-14 00:00:00,75.2585
2016-04-15 00:00:00,28.3107
2016-04-16 00:00:00,37.8816
2016-04-17 00:00:00,40.6111
2016-04-18 00:00:00,54.6472
2016-04-19 00:00:00,58.893
2016-04-20 00:00:00,56.1845
2016-04-21 00:00:00,32.7037
2016-04-22 00:00:00,39.2714
2016-04-23 00:00:00,40.2294
2016-04-24 00:00:00,21.4407
2016-04-25 00:00:00,16.5646
2016-04-26 00:00:00,19.6433
2016-04-27 00:00:00,31.4227
2016-04-28 00:00:00,33.4682
2016-04-29 00:00:00,28.5512
2016-04-30 00:00:00,18.7925
