sep=,
time,Centar
2017-01-1 00:00:00,
2017-01-2 00:00:00,197.739
2017-01-3 00:00:00,181.578
2017-01-4 00:00:00,109.644
2017-01-5 00:00:00,129.516
2017-01-6 00:00:00,28.6264
2017-01-7 00:00:00,33.0234
2017-01-8 00:00:00,58.0551
2017-01-9 00:00:00,50.3712
2017-01-10 00:00:00,62.7091
2017-01-11 00:00:00,
2017-01-12 00:00:00,
2017-01-13 00:00:00,482.446
2017-01-14 00:00:00,133.351
2017-01-15 00:00:00,86.3429
2017-01-16 00:00:00,125.726
2017-01-17 00:00:00,220.369
2017-01-18 00:00:00,42.1796
2017-01-19 00:00:00,34.3813
2017-01-20 00:00:00,105.278
2017-01-21 00:00:00,253.504
2017-01-22 00:00:00,125.191
2017-01-23 00:00:00,113.52
2017-01-24 00:00:00,145.015
2017-01-25 00:00:00,67.1333
2017-01-26 00:00:00,65.3813
2017-01-27 00:00:00,119.646
2017-01-28 00:00:00,262.853
2017-01-29 00:00:00,360.13
2017-01-30 00:00:00,283.704
2017-01-31 00:00:00,151
