sep=,
time,Centar
2015-03-1 00:00:00,59.2675
2015-03-2 00:00:00,40.22
2015-03-3 00:00:00,22.5401
2015-03-4 00:00:00,36.2625
2015-03-5 00:00:00,28.7733
2015-03-6 00:00:00,15.2005
2015-03-7 00:00:00,12.2669
2015-03-8 00:00:00,17.6928
2015-03-9 00:00:00,45.2976
2015-03-10 00:00:00,47.2342
2015-03-11 00:00:00,37.2753
2015-03-12 00:00:00,45.8508
2015-03-13 00:00:00,41.2009
2015-03-14 00:00:00,38.3613
2015-03-15 00:00:00,60.9197
2015-03-16 00:00:00,71.9192
2015-03-17 00:00:00,64.0317
2015-03-18 00:00:00,47.3508
2015-03-19 00:00:00,50.3616
2015-03-20 00:00:00,28.3944
2015-03-21 00:00:00,55.9226
2015-03-22 00:00:00,56.4234
2015-03-23 00:00:00,58.8419
2015-03-24 00:00:00,50.4087
2015-03-25 00:00:00,43.281
2015-03-26 00:00:00,45.5752
2015-03-27 00:00:00,46.1689
2015-03-28 00:00:00,15.8326
2015-03-29 00:00:00,27.846
2015-03-30 00:00:00,71.9666
2015-03-31 00:00:00,52.2296
