sep=,
time,Centar
2019-08-1 00:00:00,36.3401
2019-08-2 00:00:00,30.1373
2019-08-3 00:00:00,28.6876
2019-08-4 00:00:00,18.0965
2019-08-5 00:00:00,19.614
2019-08-6 00:00:00,26.9453
2019-08-7 00:00:00,33.5974
2019-08-8 00:00:00,33.7577
2019-08-9 00:00:00,38.5715
2019-08-10 00:00:00,35.501
2019-08-11 00:00:00,32.3677
2019-08-12 00:00:00,32.6905
2019-08-13 00:00:00,36.4395
2019-08-14 00:00:00,76.9408
2019-08-15 00:00:00,29.0042
2019-08-16 00:00:00,20.0699
2019-08-17 00:00:00,22.3092
2019-08-18 00:00:00,26.8528
2019-08-19 00:00:00,39.1694
2019-08-20 00:00:00,39.9487
2019-08-21 00:00:00,35.3649
2019-08-22 00:00:00,35.7466
2019-08-23 00:00:00,45.8438
2019-08-24 00:00:00,45.6905
2019-08-25 00:00:00,43.1783
2019-08-26 00:00:00,63.3232
2019-08-27 00:00:00,39.8517
2019-08-28 00:00:00,32.8845
2019-08-29 00:00:00,38.6786
2019-08-30 00:00:00,36.3221
2019-08-31 00:00:00,36.3541
