sep=,
time,Centar
2016-06-1 00:00:00,39.4256
2016-06-2 00:00:00,25.5153
2016-06-3 00:00:00,23.6784
2016-06-4 00:00:00,27.5846
2016-06-5 00:00:00,30.924
2016-06-6 00:00:00,24.1081
2016-06-7 00:00:00,29.4912
2016-06-8 00:00:00,25.9902
2016-06-9 00:00:00,26.2384
2016-06-10 00:00:00,25.0754
2016-06-11 00:00:00,26.7593
2016-06-12 00:00:00,30.4926
2016-06-13 00:00:00,18.8678
2016-06-14 00:00:00,24.2688
2016-06-15 00:00:00,22.8824
2016-06-16 00:00:00,
2016-06-17 00:00:00,
2016-06-18 00:00:00,
2016-06-19 00:00:00,
2016-06-20 00:00:00,54.6542
2016-06-21 00:00:00,69.4948
2016-06-22 00:00:00,54.4841
2016-06-23 00:00:00,42.5864
2016-06-24 00:00:00,41.8309
2016-06-25 00:00:00,43.3787
2016-06-26 00:00:00,38.5264
2016-06-27 00:00:00,41.6102
2016-06-28 00:00:00,21.3204
2016-06-29 00:00:00,19.3735
2016-06-30 00:00:00,37.9133
