sep=,
time,Centar
2015-09-1 00:00:00,54.9465
2015-09-2 00:00:00,43.1592
2015-09-3 00:00:00,55.0112
2015-09-4 00:00:00,52.1822
2015-09-5 00:00:00,47.1165
2015-09-6 00:00:00,37.3397
2015-09-7 00:00:00,16.8354
2015-09-8 00:00:00,16.3927
2015-09-9 00:00:00,28.2205
2015-09-10 00:00:00,23.1329
2015-09-11 00:00:00,35.2958
2015-09-12 00:00:00,22.9939
2015-09-13 00:00:00,37.3922
2015-09-14 00:00:00,44.1526
2015-09-15 00:00:00,43.4756
2015-09-16 00:00:00,47.3969
2015-09-17 00:00:00,63.4149
2015-09-18 00:00:00,86.8358
2015-09-19 00:00:00,
2015-09-20 00:00:00,
2015-09-21 00:00:00,
2015-09-22 00:00:00,31.3979
2015-09-23 00:00:00,
2015-09-24 00:00:00,
2015-09-25 00:00:00,
2015-09-26 00:00:00,
2015-09-27 00:00:00,
2015-09-28 00:00:00,
2015-09-29 00:00:00,
2015-09-30 00:00:00,
