sep=,
time,Centar
2016-05-1 00:00:00,28.2932
2016-05-2 00:00:00,22.4385
2016-05-3 00:00:00,10.0967
2016-05-4 00:00:00,12.2195
2016-05-5 00:00:00,17.1961
2016-05-6 00:00:00,31.1915
2016-05-7 00:00:00,32.1353
2016-05-8 00:00:00,24.7239
2016-05-9 00:00:00,26.1516
2016-05-10 00:00:00,33.0222
2016-05-11 00:00:00,38.5003
2016-05-12 00:00:00,
2016-05-13 00:00:00,33.4996
2016-05-14 00:00:00,22.2711
2016-05-15 00:00:00,20.7247
2016-05-16 00:00:00,16.2055
2016-05-17 00:00:00,25.4205
2016-05-18 00:00:00,28.8257
2016-05-19 00:00:00,32.582
2016-05-20 00:00:00,31.0752
2016-05-21 00:00:00,22.4984
2016-05-22 00:00:00,28.9144
2016-05-23 00:00:00,35.141
2016-05-24 00:00:00,23.0904
2016-05-25 00:00:00,24.609
2016-05-26 00:00:00,29.4823
2016-05-27 00:00:00,
2016-05-28 00:00:00,
2016-05-29 00:00:00,
2016-05-30 00:00:00,
2016-05-31 00:00:00,33.3124
