sep=,
time,Centar
2018-02-1 00:00:00,115.888
2018-02-2 00:00:00,86.0496
2018-02-3 00:00:00,55.9343
2018-02-4 00:00:00,28.5645
2018-02-5 00:00:00,45.2064
2018-02-6 00:00:00,78.4777
2018-02-7 00:00:00,58.7307
2018-02-8 00:00:00,51.4384
2018-02-9 00:00:00,91.3739
2018-02-10 00:00:00,70.9839
2018-02-11 00:00:00,15.8154
2018-02-12 00:00:00,53.9789
2018-02-13 00:00:00,74.6637
2018-02-14 00:00:00,37.3094
2018-02-15 00:00:00,38.0791
2018-02-16 00:00:00,53.7531
2018-02-17 00:00:00,92.3529
2018-02-18 00:00:00,68.5453
2018-02-19 00:00:00,27.7119
2018-02-20 00:00:00,35.8696
2018-02-21 00:00:00,30.6761
2018-02-22 00:00:00,
2018-02-23 00:00:00,51.791
2018-02-24 00:00:00,29.4803
2018-02-25 00:00:00,25.0732
2018-02-26 00:00:00,30.9876
2018-02-27 00:00:00,49.9643
2018-02-28 00:00:00,48.7434
