sep=,
time,Centar
2016-10-1 00:00:00,62.7214
2016-10-2 00:00:00,62.1956
2016-10-3 00:00:00,54.6404
2016-10-4 00:00:00,27.77
2016-10-5 00:00:00,25.8766
2016-10-6 00:00:00,28.0271
2016-10-7 00:00:00,59.5375
2016-10-8 00:00:00,123.037
2016-10-9 00:00:00,54.6826
2016-10-10 00:00:00,55.2584
2016-10-11 00:00:00,87.0312
2016-10-12 00:00:00,28.5052
2016-10-13 00:00:00,40.0485
2016-10-14 00:00:00,68.6403
2016-10-15 00:00:00,70.2365
2016-10-16 00:00:00,68.0931
2016-10-17 00:00:00,29.8875
2016-10-18 00:00:00,28.6581
2016-10-19 00:00:00,31.0286
2016-10-20 00:00:00,39.6379
2016-10-21 00:00:00,38.1029
2016-10-22 00:00:00,35.3819
2016-10-23 00:00:00,49.8105
2016-10-24 00:00:00,85.4352
2016-10-25 00:00:00,73.9581
2016-10-26 00:00:00,64.6116
2016-10-27 00:00:00,20.696
2016-10-28 00:00:00,15.7724
2016-10-29 00:00:00,49.5806
2016-10-30 00:00:00,71.6554
2016-10-31 00:00:00,43.3876
