sep=,
time,Centar
2017-11-1 00:00:00,58.6895
2017-11-2 00:00:00,71.3135
2017-11-3 00:00:00,109.262
2017-11-4 00:00:00,40.5057
2017-11-5 00:00:00,64.9127
2017-11-6 00:00:00,93.5027
2017-11-7 00:00:00,88.6948
2017-11-8 00:00:00,59.0102
2017-11-9 00:00:00,50.1916
2017-11-10 00:00:00,95.3195
2017-11-11 00:00:00,111.461
2017-11-12 00:00:00,66.1824
2017-11-13 00:00:00,72.7208
2017-11-14 00:00:00,59.1915
2017-11-15 00:00:00,21.1653
2017-11-16 00:00:00,
2017-11-17 00:00:00,
2017-11-18 00:00:00,28.8842
2017-11-19 00:00:00,31.4723
2017-11-20 00:00:00,15.0108
2017-11-21 00:00:00,47.2657
2017-11-22 00:00:00,80.9565
2017-11-23 00:00:00,113.473
2017-11-24 00:00:00,125.436
2017-11-25 00:00:00,124.2
2017-11-26 00:00:00,135.811
2017-11-27 00:00:00,21.1842
2017-11-28 00:00:00,31.1289
2017-11-29 00:00:00,104.888
2017-11-30 00:00:00,71.379
