sep=,
time,Centar
2016-08-1 00:00:00,41.5557
2016-08-2 00:00:00,23.56
2016-08-3 00:00:00,18.7246
2016-08-4 00:00:00,35.0067
2016-08-5 00:00:00,38.2947
2016-08-6 00:00:00,46.1427
2016-08-7 00:00:00,
2016-08-8 00:00:00,
2016-08-9 00:00:00,36.2871
2016-08-10 00:00:00,44.4358
2016-08-11 00:00:00,36.5507
2016-08-12 00:00:00,16.0033
2016-08-13 00:00:00,13.9836
2016-08-14 00:00:00,30.4579
2016-08-15 00:00:00,50.4706
2016-08-16 00:00:00,44.3714
2016-08-17 00:00:00,43.9704
2016-08-18 00:00:00,32.39
2016-08-19 00:00:00,41.6387
2016-08-20 00:00:00,44.8727
2016-08-21 00:00:00,38.7276
2016-08-22 00:00:00,51.7601
2016-08-23 00:00:00,23.8411
2016-08-24 00:00:00,24.554
2016-08-25 00:00:00,29.3298
2016-08-26 00:00:00,25.543
2016-08-27 00:00:00,22.9554
2016-08-28 00:00:00,27.6023
2016-08-29 00:00:00,39.673
2016-08-30 00:00:00,44.1224
2016-08-31 00:00:00,46.4614
