sep=,
time,Centar
2017-05-1 00:00:00,33.0394
2017-05-2 00:00:00,53.7659
2017-05-3 00:00:00,53.0125
2017-05-4 00:00:00,41.1371
2017-05-5 00:00:00,32.3583
2017-05-6 00:00:00,21.7768
2017-05-7 00:00:00,
2017-05-8 00:00:00,
2017-05-9 00:00:00,22.488
2017-05-10 00:00:00,21.5894
2017-05-11 00:00:00,29.5888
2017-05-12 00:00:00,32.2681
2017-05-13 00:00:00,38.7325
2017-05-14 00:00:00,26.6103
2017-05-15 00:00:00,27.7461
2017-05-16 00:00:00,23.5516
2017-05-17 00:00:00,
2017-05-18 00:00:00,
2017-05-19 00:00:00,
2017-05-20 00:00:00,
2017-05-21 00:00:00,
2017-05-22 00:00:00,
2017-05-23 00:00:00,37.7236
2017-05-24 00:00:00,25.0549
2017-05-25 00:00:00,20.5098
2017-05-26 00:00:00,13.2761
2017-05-27 00:00:00,20.2555
2017-05-28 00:00:00,15.6047
2017-05-29 00:00:00,21.2009
2017-05-30 00:00:00,23.4708
2017-05-31 00:00:00,30.8599
