sep=,
time,Centar
2018-01-1 00:00:00,194.423
2018-01-2 00:00:00,143.254
2018-01-3 00:00:00,50.8137
2018-01-4 00:00:00,48.2911
2018-01-5 00:00:00,112.491
2018-01-6 00:00:00,152.656
2018-01-7 00:00:00,160.897
2018-01-8 00:00:00,224.217
2018-01-9 00:00:00,136.049
2018-01-10 00:00:00,91.3396
2018-01-11 00:00:00,69.2263
2018-01-12 00:00:00,
2018-01-13 00:00:00,
2018-01-14 00:00:00,27.596
2018-01-15 00:00:00,31.1023
2018-01-16 00:00:00,
2018-01-17 00:00:00,
2018-01-18 00:00:00,34.0229
2018-01-19 00:00:00,84.8375
2018-01-20 00:00:00,90.175
2018-01-21 00:00:00,57.5425
2018-01-22 00:00:00,26.5104
2018-01-23 00:00:00,50.4678
2018-01-24 00:00:00,50.4434
2018-01-25 00:00:00,89.8119
2018-01-26 00:00:00,123.497
2018-01-27 00:00:00,144.11
2018-01-28 00:00:00,167.651
2018-01-29 00:00:00,202.343
2018-01-30 00:00:00,144.722
2018-01-31 00:00:00,119.346
