sep=,
time,Centar
2015-02-1 00:00:00,34.5728
2015-02-2 00:00:00,61.6314
2015-02-3 00:00:00,64.1508
2015-02-4 00:00:00,66.5776
2015-02-5 00:00:00,141.436
2015-02-6 00:00:00,84.6514
2015-02-7 00:00:00,32.23
2015-02-8 00:00:00,35.0809
2015-02-9 00:00:00,25.2044
2015-02-10 00:00:00,26.289
2015-02-11 00:00:00,26.3401
2015-02-12 00:00:00,44.6881
2015-02-13 00:00:00,111.973
2015-02-14 00:00:00,140.933
2015-02-15 00:00:00,122.432
2015-02-16 00:00:00,115.865
2015-02-17 00:00:00,70.8752
2015-02-18 00:00:00,34.0292
2015-02-19 00:00:00,70.9557
2015-02-20 00:00:00,130.247
2015-02-21 00:00:00,106.933
2015-02-22 00:00:00,85.105
2015-02-23 00:00:00,74.0133
2015-02-24 00:00:00,115.091
2015-02-25 00:00:00,61.7337
2015-02-26 00:00:00,53.3121
2015-02-27 00:00:00,44.5427
2015-02-28 00:00:00,60.1718
