sep=,
time,Centar
2018-09-1 00:00:00,38.3077
2018-09-2 00:00:00,41.2595
2018-09-3 00:00:00,41.3198
2018-09-4 00:00:00,21.395
2018-09-5 00:00:00,21.1903
2018-09-6 00:00:00,29.4556
2018-09-7 00:00:00,33.5431
2018-09-8 00:00:00,
2018-09-9 00:00:00,
2018-09-10 00:00:00,
2018-09-11 00:00:00,30.254
2018-09-12 00:00:00,32.1246
2018-09-13 00:00:00,36.0162
2018-09-14 00:00:00,34.9377
2018-09-15 00:00:00,41.8362
2018-09-16 00:00:00,24.0736
2018-09-17 00:00:00,33.1848
2018-09-18 00:00:00,44.3393
2018-09-19 00:00:00,44.5363
2018-09-20 00:00:00,41.1155
2018-09-21 00:00:00,42.3274
2018-09-22 00:00:00,43.4593
2018-09-23 00:00:00,59.0287
2018-09-24 00:00:00,42.2853
2018-09-25 00:00:00,16.0673
2018-09-26 00:00:00,18.2119
2018-09-27 00:00:00,28.2541
2018-09-28 00:00:00,40.3636
2018-09-29 00:00:00,43.9312
2018-09-30 00:00:00,40.6027
