sep=,
time,Centar
2015-04-1 00:00:00,42.7847
2015-04-2 00:00:00,28.6676
2015-04-3 00:00:00,60.7949
2015-04-4 00:00:00,
2015-04-5 00:00:00,
2015-04-6 00:00:00,
2015-04-7 00:00:00,
2015-04-8 00:00:00,
2015-04-9 00:00:00,
2015-04-10 00:00:00,
2015-04-11 00:00:00,
2015-04-12 00:00:00,
2015-04-13 00:00:00,
2015-04-14 00:00:00,
2015-04-15 00:00:00,
2015-04-16 00:00:00,35.3123
2015-04-17 00:00:00,38.4936
2015-04-18 00:00:00,34.1124
2015-04-19 00:00:00,24.8556
2015-04-20 00:00:00,26.4533
2015-04-21 00:00:00,32.2189
2015-04-22 00:00:00,48.0876
2015-04-23 00:00:00,45.4415
2015-04-24 00:00:00,36.5538
2015-04-25 00:00:00,32.4338
2015-04-26 00:00:00,37.3967
2015-04-27 00:00:00,40.6259
2015-04-28 00:00:00,32.4293
2015-04-29 00:00:00,22.9481
2015-04-30 00:00:00,30.4322
