sep=,
time,Centar
2018-08-1 00:00:00,35.2419
2018-08-2 00:00:00,25.7948
2018-08-3 00:00:00,25.1719
2018-08-4 00:00:00,27.7957
2018-08-5 00:00:00,33.9529
2018-08-6 00:00:00,22.5431
2018-08-7 00:00:00,42.7985
2018-08-8 00:00:00,37.4832
2018-08-9 00:00:00,40.4744
2018-08-10 00:00:00,29.4753
2018-08-11 00:00:00,27.8797
2018-08-12 00:00:00,29.684
2018-08-13 00:00:00,31.5141
2018-08-14 00:00:00,39.4459
2018-08-15 00:00:00,29.8686
2018-08-16 00:00:00,31.5742
2018-08-17 00:00:00,34.9515
2018-08-18 00:00:00,31.6023
2018-08-19 00:00:00,28.695
2018-08-20 00:00:00,31.7343
2018-08-21 00:00:00,31.6117
2018-08-22 00:00:00,28.356
2018-08-23 00:00:00,
2018-08-24 00:00:00,40.1086
2018-08-25 00:00:00,42.6343
2018-08-26 00:00:00,32.7185
2018-08-27 00:00:00,21.0521
2018-08-28 00:00:00,17.3971
2018-08-29 00:00:00,
2018-08-30 00:00:00,37.1662
2018-08-31 00:00:00,40.5724
