sep=,
time,Centar
2017-10-1 00:00:00,31.3937
2017-10-2 00:00:00,38.178
2017-10-3 00:00:00,47.2898
2017-10-4 00:00:00,
2017-10-5 00:00:00,43.6992
2017-10-6 00:00:00,38.3974
2017-10-7 00:00:00,11.5288
2017-10-8 00:00:00,14.3724
2017-10-9 00:00:00,35.4701
2017-10-10 00:00:00,38.5173
2017-10-11 00:00:00,37.7017
2017-10-12 00:00:00,46.0407
2017-10-13 00:00:00,48.2581
2017-10-14 00:00:00,46.4075
2017-10-15 00:00:00,40.4677
2017-10-16 00:00:00,55.644
2017-10-17 00:00:00,56.3428
2017-10-18 00:00:00,58.849
2017-10-19 00:00:00,55.6377
2017-10-20 00:00:00,54.4767
2017-10-21 00:00:00,
2017-10-22 00:00:00,53.4697
2017-10-23 00:00:00,44.2681
2017-10-24 00:00:00,10.2374
2017-10-25 00:00:00,11.7858
2017-10-26 00:00:00,39.5475
2017-10-27 00:00:00,66.9338
2017-10-28 00:00:00,23.2635
2017-10-29 00:00:00,22.6291
2017-10-30 00:00:00,18.9393
2017-10-31 00:00:00,44.4048
