sep=,
time,Centar
2016-11-1 00:00:00,85.5826
2016-11-2 00:00:00,87.2264
2016-11-3 00:00:00,84.2169
2016-11-4 00:00:00,41.4228
2016-11-5 00:00:00,79.4584
2016-11-6 00:00:00,84.4998
2016-11-7 00:00:00,70.0763
2016-11-8 00:00:00,55.6638
2016-11-9 00:00:00,28.7043
2016-11-10 00:00:00,50.2944
2016-11-11 00:00:00,95.0671
2016-11-12 00:00:00,41.0161
2016-11-13 00:00:00,31.0817
2016-11-14 00:00:00,39.4244
2016-11-15 00:00:00,46.5339
2016-11-16 00:00:00,92.5151
2016-11-17 00:00:00,121.136
2016-11-18 00:00:00,141.936
2016-11-19 00:00:00,150.818
2016-11-20 00:00:00,158.386
2016-11-21 00:00:00,155.016
2016-11-22 00:00:00,163.985
2016-11-23 00:00:00,156.273
2016-11-24 00:00:00,122.943
2016-11-25 00:00:00,54.0694
2016-11-26 00:00:00,93.8497
2016-11-27 00:00:00,161.59
2016-11-28 00:00:00,64.5577
2016-11-29 00:00:00,20.6839
2016-11-30 00:00:00,38.3226
