sep=,
time,Centar
2017-07-1 00:00:00,52.975
2017-07-2 00:00:00,50.6522
2017-07-3 00:00:00,
2017-07-4 00:00:00,
2017-07-5 00:00:00,52.4171
2017-07-6 00:00:00,34.8126
2017-07-7 00:00:00,34.0643
2017-07-8 00:00:00,31.7477
2017-07-9 00:00:00,32.381
2017-07-10 00:00:00,39.4665
2017-07-11 00:00:00,38.4759
2017-07-12 00:00:00,39.0031
2017-07-13 00:00:00,38.6126
2017-07-14 00:00:00,20.1632
2017-07-15 00:00:00,25.1238
2017-07-16 00:00:00,22.169
2017-07-17 00:00:00,13.7434
2017-07-18 00:00:00,21.9304
2017-07-19 00:00:00,
2017-07-20 00:00:00,32.4883
2017-07-21 00:00:00,30.1419
2017-07-22 00:00:00,36.9559
2017-07-23 00:00:00,42.4292
2017-07-24 00:00:00,47.3219
2017-07-25 00:00:00,35.4296
2017-07-26 00:00:00,
2017-07-27 00:00:00,
2017-07-28 00:00:00,
2017-07-29 00:00:00,22.7564
2017-07-30 00:00:00,24.7635
2017-07-31 00:00:00,26.8954
