sep=,
time,Centar
2018-06-1 00:00:00,37.91
2018-06-2 00:00:00,33.8492
2018-06-3 00:00:00,30.3599
2018-06-4 00:00:00,31.9494
2018-06-5 00:00:00,32.7733
2018-06-6 00:00:00,29.9007
2018-06-7 00:00:00,35.8434
2018-06-8 00:00:00,42.7696
2018-06-9 00:00:00,
2018-06-10 00:00:00,27.0767
2018-06-11 00:00:00,41.0132
2018-06-12 00:00:00,41.6371
2018-06-13 00:00:00,53.4313
2018-06-14 00:00:00,46.0027
2018-06-15 00:00:00,18.7836
2018-06-16 00:00:00,27.2776
2018-06-17 00:00:00,20.774
2018-06-18 00:00:00,27.1302
2018-06-19 00:00:00,25.9105
2018-06-20 00:00:00,31.7506
2018-06-21 00:00:00,38.6881
2018-06-22 00:00:00,32.8917
2018-06-23 00:00:00,16.8003
2018-06-24 00:00:00,15.719
2018-06-25 00:00:00,24.8137
2018-06-26 00:00:00,
2018-06-27 00:00:00,
2018-06-28 00:00:00,
2018-06-29 00:00:00,
2018-06-30 00:00:00,
