sep=,
time,Centar
2017-12-1 00:00:00,34.7523
2017-12-2 00:00:00,16.8789
2017-12-3 00:00:00,66.0376
2017-12-4 00:00:00,
2017-12-5 00:00:00,
2017-12-6 00:00:00,66.3849
2017-12-7 00:00:00,127.906
2017-12-8 00:00:00,148.354
2017-12-9 00:00:00,125.791
2017-12-10 00:00:00,45.4914
2017-12-11 00:00:00,158.997
2017-12-12 00:00:00,128.669
2017-12-13 00:00:00,255.717
2017-12-14 00:00:00,352.893
2017-12-15 00:00:00,206.01
2017-12-16 00:00:00,
2017-12-17 00:00:00,18.4731
2017-12-18 00:00:00,22.834
2017-12-19 00:00:00,30.6208
2017-12-20 00:00:00,59.5175
2017-12-21 00:00:00,39.4515
2017-12-22 00:00:00,61.7335
2017-12-23 00:00:00,27.1976
2017-12-24 00:00:00,43.7172
2017-12-25 00:00:00,111.961
2017-12-26 00:00:00,174.055
2017-12-27 00:00:00,162.9
2017-12-28 00:00:00,58.2186
2017-12-29 00:00:00,35.8927
2017-12-30 00:00:00,30.3226
2017-12-31 00:00:00,95.3022
