sep=,
time,Centar
2015-11-1 00:00:00,52.2459
2015-11-2 00:00:00,97.339
2015-11-3 00:00:00,140.373
2015-11-4 00:00:00,135.711
2015-11-5 00:00:00,143.281
2015-11-6 00:00:00,159.932
2015-11-7 00:00:00,173.178
2015-11-8 00:00:00,210.137
2015-11-9 00:00:00,152.186
2015-11-10 00:00:00,76.8604
2015-11-11 00:00:00,95.0626
2015-11-12 00:00:00,101.171
2015-11-13 00:00:00,111.659
2015-11-14 00:00:00,89.6926
2015-11-15 00:00:00,64.9946
2015-11-16 00:00:00,152.391
2015-11-17 00:00:00,118.625
2015-11-18 00:00:00,141.655
2015-11-19 00:00:00,171.03
2015-11-20 00:00:00,205.462
2015-11-21 00:00:00,164.004
2015-11-22 00:00:00,30.7719
2015-11-23 00:00:00,57.7368
2015-11-24 00:00:00,44.4385
2015-11-25 00:00:00,54.1688
2015-11-26 00:00:00,31.574
2015-11-27 00:00:00,13.6387
2015-11-28 00:00:00,29.3498
2015-11-29 00:00:00,52.5728
2015-11-30 00:00:00,115.244
