sep=,
time,Centar
2019-05-1 00:00:00,13.6151
2019-05-2 00:00:00,20.6984
2019-05-3 00:00:00,28.1308
2019-05-4 00:00:00,31.6028
2019-05-5 00:00:00,24.6355
2019-05-6 00:00:00,22.4913
2019-05-7 00:00:00,14.878
2019-05-8 00:00:00,30.4785
2019-05-9 00:00:00,42.6168
2019-05-10 00:00:00,23.3582
2019-05-11 00:00:00,21.5076
2019-05-12 00:00:00,28.8584
2019-05-13 00:00:00,29.9744
2019-05-14 00:00:00,25.8549
2019-05-15 00:00:00,14.1481
2019-05-16 00:00:00,24.8199
2019-05-17 00:00:00,28.8141
2019-05-18 00:00:00,32.7667
2019-05-19 00:00:00,39.7156
2019-05-20 00:00:00,31.9393
2019-05-21 00:00:00,15.7307
2019-05-22 00:00:00,25.378
2019-05-23 00:00:00,24.8455
2019-05-24 00:00:00,17.7737
2019-05-25 00:00:00,17.4566
2019-05-26 00:00:00,28.5637
2019-05-27 00:00:00,34.0278
2019-05-28 00:00:00,31.3214
2019-05-29 00:00:00,23.58
2019-05-30 00:00:00,22.9081
2019-05-31 00:00:00,29.7033
