sep=,
time,Centar
2019-06-1 00:00:00,27.9454
2019-06-2 00:00:00,23.1142
2019-06-3 00:00:00,16.2412
2019-06-4 00:00:00,23.1761
2019-06-5 00:00:00,25.5731
2019-06-6 00:00:00,22.9398
2019-06-7 00:00:00,36.6674
2019-06-8 00:00:00,46.4932
2019-06-9 00:00:00,43.7848
2019-06-10 00:00:00,35.5789
2019-06-11 00:00:00,28.4844
2019-06-12 00:00:00,30.5219
2019-06-13 00:00:00,46.2541
2019-06-14 00:00:00,49.3964
2019-06-15 00:00:00,38.0682
2019-06-16 00:00:00,34.1558
2019-06-17 00:00:00,30.8379
2019-06-18 00:00:00,26.7428
2019-06-19 00:00:00,22.4609
2019-06-20 00:00:00,40.2713
2019-06-21 00:00:00,30.6036
2019-06-22 00:00:00,35.0072
2019-06-23 00:00:00,41.084
2019-06-24 00:00:00,37.8978
2019-06-25 00:00:00,26.4297
2019-06-26 00:00:00,34.0334
2019-06-27 00:00:00,32.774
2019-06-28 00:00:00,24.7113
2019-06-29 00:00:00,7.5611
2019-06-30 00:00:00,
