sep=,
time,Centar
2018-03-1 00:00:00,92.5989
2018-03-2 00:00:00,82.9225
2018-03-3 00:00:00,80.7578
2018-03-4 00:00:00,37.5709
2018-03-5 00:00:00,61.9069
2018-03-6 00:00:00,41.9975
2018-03-7 00:00:00,22.8374
2018-03-8 00:00:00,36.601
2018-03-9 00:00:00,41.3355
2018-03-10 00:00:00,53.6414
2018-03-11 00:00:00,56.0138
2018-03-12 00:00:00,52.3342
2018-03-13 00:00:00,28.2909
2018-03-14 00:00:00,38.0821
2018-03-15 00:00:00,35.0475
2018-03-16 00:00:00,48.9601
2018-03-17 00:00:00,54.0516
2018-03-18 00:00:00,54.8585
2018-03-19 00:00:00,31.1495
2018-03-20 00:00:00,27.3517
2018-03-21 00:00:00,31.161
2018-03-22 00:00:00,31.5943
2018-03-23 00:00:00,27.6082
2018-03-24 00:00:00,32.8961
2018-03-25 00:00:00,67.5818
2018-03-26 00:00:00,32.0864
2018-03-27 00:00:00,32.0245
2018-03-28 00:00:00,32.6098
2018-03-29 00:00:00,46.4385
2018-03-30 00:00:00,50.6563
2018-03-31 00:00:00,44.1144
