sep=,
time,Centar
2018-04-1 00:00:00,18.378
2018-04-2 00:00:00,21.5811
2018-04-3 00:00:00,34.135
2018-04-4 00:00:00,39.8427
2018-04-5 00:00:00,47.6324
2018-04-6 00:00:00,23.4129
2018-04-7 00:00:00,16.2827
2018-04-8 00:00:00,29.2562
2018-04-9 00:00:00,27.9115
2018-04-10 00:00:00,29.1664
2018-04-11 00:00:00,46.2607
2018-04-12 00:00:00,49.9496
2018-04-13 00:00:00,58.5079
2018-04-14 00:00:00,73.6206
2018-04-15 00:00:00,60.5036
2018-04-16 00:00:00,48.7255
2018-04-17 00:00:00,42.6564
2018-04-18 00:00:00,42.4861
2018-04-19 00:00:00,34.1033
2018-04-20 00:00:00,32.3461
2018-04-21 00:00:00,32.4199
2018-04-22 00:00:00,33.8571
2018-04-23 00:00:00,39.1073
2018-04-24 00:00:00,41.1733
2018-04-25 00:00:00,45.9153
2018-04-26 00:00:00,46.0461
2018-04-27 00:00:00,46.259
2018-04-28 00:00:00,49.7447
2018-04-29 00:00:00,43.4529
2018-04-30 00:00:00,40.1972
