sep=,
time,Centar
2015-01-1 00:00:00,38.8584
2015-01-2 00:00:00,233.634
2015-01-3 00:00:00,380.284
2015-01-4 00:00:00,221.864
2015-01-5 00:00:00,31.6266
2015-01-6 00:00:00,49.3919
2015-01-7 00:00:00,45.3755
2015-01-8 00:00:00,140.539
2015-01-9 00:00:00,232.57
2015-01-10 00:00:00,350.548
2015-01-11 00:00:00,446.356
2015-01-12 00:00:00,39.4757
2015-01-13 00:00:00,118.911
2015-01-14 00:00:00,195.968
2015-01-15 00:00:00,262.868
2015-01-16 00:00:00,181.515
2015-01-17 00:00:00,195.295
2015-01-18 00:00:00,326.812
2015-01-19 00:00:00,172.099
2015-01-20 00:00:00,239.448
2015-01-21 00:00:00,205.823
2015-01-22 00:00:00,165.56
2015-01-23 00:00:00,76.4785
2015-01-24 00:00:00,43.4413
2015-01-25 00:00:00,19.8101
2015-01-26 00:00:00,32.3349
2015-01-27 00:00:00,66.4823
2015-01-28 00:00:00,41.5461
2015-01-29 00:00:00,72.207
2015-01-30 00:00:00,74.8174
2015-01-31 00:00:00,35.051
