sep=,
time,Centar
2016-03-1 00:00:00,48.7188
2016-03-2 00:00:00,
2016-03-3 00:00:00,48.568
2016-03-4 00:00:00,33.6348
2016-03-5 00:00:00,41.7838
2016-03-6 00:00:00,32.6444
2016-03-7 00:00:00,48.6638
2016-03-8 00:00:00,48.9738
2016-03-9 00:00:00,53.6319
2016-03-10 00:00:00,23.2286
2016-03-11 00:00:00,41.0742
2016-03-12 00:00:00,45.0373
2016-03-13 00:00:00,10.1772
2016-03-14 00:00:00,18.5664
2016-03-15 00:00:00,32.0345
2016-03-16 00:00:00,38.1433
2016-03-17 00:00:00,35.9581
2016-03-18 00:00:00,59.4083
2016-03-19 00:00:00,48.659
2016-03-20 00:00:00,48.1643
2016-03-21 00:00:00,65.7687
2016-03-22 00:00:00,46.0657
2016-03-23 00:00:00,42.7504
2016-03-24 00:00:00,21.2022
2016-03-25 00:00:00,26.4009
2016-03-26 00:00:00,39.7765
2016-03-27 00:00:00,37.32
2016-03-28 00:00:00,50.3035
2016-03-29 00:00:00,51.7545
2016-03-30 00:00:00,54.241
2016-03-31 00:00:00,49.5084
