sep=,
time,Centar
2019-01-1 00:00:00,31.2184
2019-01-2 00:00:00,54.5569
2019-01-3 00:00:00,16.894
2019-01-4 00:00:00,19.6773
2019-01-5 00:00:00,55.8381
2019-01-6 00:00:00,150.161
2019-01-7 00:00:00,30.472
2019-01-8 00:00:00,68.8239
2019-01-9 00:00:00,100.485
2019-01-10 00:00:00,167.582
2019-01-11 00:00:00,137.071
2019-01-12 00:00:00,50.548
2019-01-13 00:00:00,105.891
2019-01-14 00:00:00,163.131
2019-01-15 00:00:00,29.193
2019-01-16 00:00:00,97.6324
2019-01-17 00:00:00,173.108
2019-01-18 00:00:00,258.577
2019-01-19 00:00:00,263.368
2019-01-20 00:00:00,239.805
2019-01-21 00:00:00,106.473
2019-01-22 00:00:00,97.3973
2019-01-23 00:00:00,43.2455
2019-01-24 00:00:00,31.1796
2019-01-25 00:00:00,24.9105
2019-01-26 00:00:00,48.5637
2019-01-27 00:00:00,138.72
2019-01-28 00:00:00,152.286
2019-01-29 00:00:00,
2019-01-30 00:00:00,100.994
2019-01-31 00:00:00,116.105
