sep=,
time,Centar
2018-11-1 00:00:00,80.668
2018-11-2 00:00:00,82.575
2018-11-3 00:00:00,79.9362
2018-11-4 00:00:00,61.904
2018-11-5 00:00:00,57.8759
2018-11-6 00:00:00,79.9292
2018-11-7 00:00:00,88.9104
2018-11-8 00:00:00,92.5913
2018-11-9 00:00:00,112.35
2018-11-10 00:00:00,91.9614
2018-11-11 00:00:00,96.3807
2018-11-12 00:00:00,112.318
2018-11-13 00:00:00,119.214
2018-11-14 00:00:00,119.143
2018-11-15 00:00:00,32.363
2018-11-16 00:00:00,47.2573
2018-11-17 00:00:00,37.0797
2018-11-18 00:00:00,
2018-11-19 00:00:00,71.984
2018-11-20 00:00:00,45.5602
2018-11-21 00:00:00,21.8714
2018-11-22 00:00:00,47.687
2018-11-23 00:00:00,67.5875
2018-11-24 00:00:00,60.8903
2018-11-25 00:00:00,68.3765
2018-11-26 00:00:00,42.635
2018-11-27 00:00:00,27.7956
2018-11-28 00:00:00,7.4016
2018-11-29 00:00:00,16.1931
2018-11-30 00:00:00,68.0469
