sep=,
time,Centar
2017-08-1 00:00:00,24.4627
2017-08-2 00:00:00,25.1746
2017-08-3 00:00:00,29.4101
2017-08-4 00:00:00,39.7078
2017-08-5 00:00:00,47.976
2017-08-6 00:00:00,37.8676
2017-08-7 00:00:00,43.6682
2017-08-8 00:00:00,39.4623
2017-08-9 00:00:00,39.9382
2017-08-10 00:00:00,39.1279
2017-08-11 00:00:00,41.8651
2017-08-12 00:00:00,49.4235
2017-08-13 00:00:00,21.7303
2017-08-14 00:00:00,18.6753
2017-08-15 00:00:00,27.1603
2017-08-16 00:00:00,30.0541
2017-08-17 00:00:00,35.918
2017-08-18 00:00:00,34.5656
2017-08-19 00:00:00,34.5961
2017-08-20 00:00:00,36.9095
2017-08-21 00:00:00,31.2514
2017-08-22 00:00:00,24.3469
2017-08-23 00:00:00,50.5889
2017-08-24 00:00:00,37.1278
2017-08-25 00:00:00,33.2178
2017-08-26 00:00:00,35.1069
2017-08-27 00:00:00,33.1036
2017-08-28 00:00:00,37.0933
2017-08-29 00:00:00,
2017-08-30 00:00:00,23.715
2017-08-31 00:00:00,36.0842
