sep=,
time,Centar
2016-01-1 00:00:00,107.298
2016-01-2 00:00:00,133.68
2016-01-3 00:00:00,94.3344
2016-01-4 00:00:00,114.393
2016-01-5 00:00:00,300.498
2016-01-6 00:00:00,380.211
2016-01-7 00:00:00,79.4489
2016-01-8 00:00:00,115.793
2016-01-9 00:00:00,172.079
2016-01-10 00:00:00,188.092
2016-01-11 00:00:00,275.171
2016-01-12 00:00:00,43.5432
2016-01-13 00:00:00,57.8942
2016-01-14 00:00:00,118.663
2016-01-15 00:00:00,84.8169
2016-01-16 00:00:00,
2016-01-17 00:00:00,
2016-01-18 00:00:00,
2016-01-19 00:00:00,58.0963
2016-01-20 00:00:00,104.564
2016-01-21 00:00:00,158.723
2016-01-22 00:00:00,46.5168
2016-01-23 00:00:00,85.0685
2016-01-24 00:00:00,147.997
2016-01-25 00:00:00,170.061
2016-01-26 00:00:00,134.601
2016-01-27 00:00:00,129.288
2016-01-28 00:00:00,215.823
2016-01-29 00:00:00,320.903
2016-01-30 00:00:00,203.259
2016-01-31 00:00:00,156.594
