sep=,
time,Centar
2018-05-1 00:00:00,38.9366
2018-05-2 00:00:00,46.088
2018-05-3 00:00:00,48.9445
2018-05-4 00:00:00,51.5417
2018-05-5 00:00:00,44.7544
2018-05-6 00:00:00,24.6022
2018-05-7 00:00:00,27.9718
2018-05-8 00:00:00,36.1923
2018-05-9 00:00:00,34.4874
2018-05-10 00:00:00,32.5876
2018-05-11 00:00:00,29.8362
2018-05-12 00:00:00,26.4987
2018-05-13 00:00:00,24.1515
2018-05-14 00:00:00,25.3727
2018-05-15 00:00:00,28.188
2018-05-16 00:00:00,16.4547
2018-05-17 00:00:00,19.2073
2018-05-18 00:00:00,26.9527
2018-05-19 00:00:00,19.8743
2018-05-20 00:00:00,25.0589
2018-05-21 00:00:00,29.1674
2018-05-22 00:00:00,37.4875
2018-05-23 00:00:00,40.882
2018-05-24 00:00:00,23.1648
2018-05-25 00:00:00,26.8407
2018-05-26 00:00:00,30.0477
2018-05-27 00:00:00,24.8933
2018-05-28 00:00:00,32.0419
2018-05-29 00:00:00,35.2198
2018-05-30 00:00:00,37.9263
2018-05-31 00:00:00,38.7942
