sep=,
time,Centar
2017-06-1 00:00:00,36.7653
2017-06-2 00:00:00,30.676
2017-06-3 00:00:00,26.4088
2017-06-4 00:00:00,27.0212
2017-06-5 00:00:00,31.304
2017-06-6 00:00:00,29.2315
2017-06-7 00:00:00,31.7746
2017-06-8 00:00:00,24.7877
2017-06-9 00:00:00,20.9954
2017-06-10 00:00:00,27.4477
2017-06-11 00:00:00,20.7598
2017-06-12 00:00:00,27.8923
2017-06-13 00:00:00,26.8438
2017-06-14 00:00:00,
2017-06-15 00:00:00,
2017-06-16 00:00:00,34.6341
2017-06-17 00:00:00,32.3675
2017-06-18 00:00:00,18.6431
2017-06-19 00:00:00,16.4356
2017-06-20 00:00:00,25.6213
2017-06-21 00:00:00,33.871
2017-06-22 00:00:00,42.3416
2017-06-23 00:00:00,40.5325
2017-06-24 00:00:00,30.1648
2017-06-25 00:00:00,29.6664
2017-06-26 00:00:00,32.7086
2017-06-27 00:00:00,
2017-06-28 00:00:00,36.5697
2017-06-29 00:00:00,38.8015
2017-06-30 00:00:00,47.4113
