sep=,
time,Centar
2019-04-1 00:00:00,70.9857
2019-04-2 00:00:00,65.6583
2019-04-3 00:00:00,49.0937
2019-04-4 00:00:00,39.6719
2019-04-5 00:00:00,47.7547
2019-04-6 00:00:00,43.2692
2019-04-7 00:00:00,39.4451
2019-04-8 00:00:00,40.3312
2019-04-9 00:00:00,
2019-04-10 00:00:00,
2019-04-11 00:00:00,10.3422
2019-04-12 00:00:00,11.424
2019-04-13 00:00:00,18.8527
2019-04-14 00:00:00,22.6732
2019-04-15 00:00:00,14.5811
2019-04-16 00:00:00,
2019-04-17 00:00:00,
2019-04-18 00:00:00,
2019-04-19 00:00:00,
2019-04-20 00:00:00,
2019-04-21 00:00:00,
2019-04-22 00:00:00,
2019-04-23 00:00:00,39.9645
2019-04-24 00:00:00,48.9271
2019-04-25 00:00:00,79.6479
2019-04-26 00:00:00,76.8556
2019-04-27 00:00:00,55.507
2019-04-28 00:00:00,19.4287
2019-04-29 00:00:00,17.7839
2019-04-30 00:00:00,16.8042
