sep=,
time,Centar
2020-01-1 00:00:00,82.5355
2020-01-2 00:00:00,77.9485
2020-01-3 00:00:00,109.338
2020-01-4 00:00:00,197.193
2020-01-5 00:00:00,40.0323
2020-01-6 00:00:00,13.3026
2020-01-7 00:00:00,43.9064
2020-01-8 00:00:00,85.3652
2020-01-9 00:00:00,132.029
2020-01-10 00:00:00,170.141
2020-01-11 00:00:00,128.318
2020-01-12 00:00:00,65.8446
2020-01-13 00:00:00,70.9161
2020-01-14 00:00:00,34.3278
2020-01-15 00:00:00,41.2361
2020-01-16 00:00:00,71.2904
2020-01-17 00:00:00,139.247
2020-01-18 00:00:00,62.4071
2020-01-19 00:00:00,51.1194
2020-01-20 00:00:00,27.9902
2020-01-21 00:00:00,68.65
2020-01-22 00:00:00,139.362
2020-01-23 00:00:00,125.183
2020-01-24 00:00:00,111.097
2020-01-25 00:00:00,145.56
2020-01-26 00:00:00,181.817
2020-01-27 00:00:00,161.693
2020-01-28 00:00:00,126.755
2020-01-29 00:00:00,88.5789
2020-01-30 00:00:00,
2020-01-31 00:00:00,88.358
