sep=,
time,Centar
2019-09-1 00:00:00,29.6524
2019-09-2 00:00:00,38.9872
2019-09-3 00:00:00,47.4048
2019-09-4 00:00:00,40.1108
2019-09-5 00:00:00,38.8744
2019-09-6 00:00:00,49.6163
2019-09-7 00:00:00,35.4819
2019-09-8 00:00:00,28.4091
2019-09-9 00:00:00,30.562
2019-09-10 00:00:00,61.7967
2019-09-11 00:00:00,46.5714
2019-09-12 00:00:00,38.4696
2019-09-13 00:00:00,35.6265
2019-09-14 00:00:00,28.7754
2019-09-15 00:00:00,26.781
2019-09-16 00:00:00,32.2349
2019-09-17 00:00:00,42.2261
2019-09-18 00:00:00,54.7729
2019-09-19 00:00:00,
2019-09-20 00:00:00,18.0634
2019-09-21 00:00:00,25.6808
2019-09-22 00:00:00,33.2192
2019-09-23 00:00:00,47.8499
2019-09-24 00:00:00,43.1401
2019-09-25 00:00:00,31.9051
2019-09-26 00:00:00,27.5421
2019-09-27 00:00:00,23.8313
2019-09-28 00:00:00,31.0725
2019-09-29 00:00:00,29.8226
2019-09-30 00:00:00,43.3018
