sep=,
time,Centar
2017-02-1 00:00:00,131.815
2017-02-2 00:00:00,180.18
2017-02-3 00:00:00,214.078
2017-02-4 00:00:00,361.235
2017-02-5 00:00:00,
2017-02-6 00:00:00,
2017-02-7 00:00:00,56.7325
2017-02-8 00:00:00,41.4298
2017-02-9 00:00:00,76.5394
2017-02-10 00:00:00,54.0693
2017-02-11 00:00:00,51.4311
2017-02-12 00:00:00,44.6348
2017-02-13 00:00:00,47.8171
2017-02-14 00:00:00,61.7468
2017-02-15 00:00:00,111.259
2017-02-16 00:00:00,
2017-02-17 00:00:00,
2017-02-18 00:00:00,125.372
2017-02-19 00:00:00,52.4686
2017-02-20 00:00:00,55.0928
2017-02-21 00:00:00,94.8994
2017-02-22 00:00:00,105.386
2017-02-23 00:00:00,84.4735
2017-02-24 00:00:00,108.406
2017-02-25 00:00:00,62.4837
2017-02-26 00:00:00,48.0579
2017-02-27 00:00:00,90.0789
2017-02-28 00:00:00,71.394
