sep=,
time,Centar
2016-07-1 00:00:00,40.5278
2016-07-2 00:00:00,30.6143
2016-07-3 00:00:00,44.7211
2016-07-4 00:00:00,35.6166
2016-07-5 00:00:00,23.2236
2016-07-6 00:00:00,29.062
2016-07-7 00:00:00,20.7939
2016-07-8 00:00:00,21.4432
2016-07-9 00:00:00,37.5328
2016-07-10 00:00:00,29.9312
2016-07-11 00:00:00,32.1416
2016-07-12 00:00:00,37.3997
2016-07-13 00:00:00,41.6553
2016-07-14 00:00:00,
2016-07-15 00:00:00,
2016-07-16 00:00:00,
2016-07-17 00:00:00,
2016-07-18 00:00:00,
2016-07-19 00:00:00,
2016-07-20 00:00:00,
2016-07-21 00:00:00,
2016-07-22 00:00:00,28.2901
2016-07-23 00:00:00,42.9163
2016-07-24 00:00:00,45.832
2016-07-25 00:00:00,47.1363
2016-07-26 00:00:00,33.5646
2016-07-27 00:00:00,36.1207
2016-07-28 00:00:00,52.8767
2016-07-29 00:00:00,24.2997
2016-07-30 00:00:00,33.0685
2016-07-31 00:00:00,28.2645
